Note,Commentaire
"1,0","1 étoile pour quelques scènes.Pour le reste, le scénario est bourré d'illogismes. En fait, on dirait qu'ils font juste une liaison entre les scènes qu'ils avaient envie de filmer, au détriment de toute cohérence. Des mômes qui, alors qu'ils viennent de camps de réfugiés, se décide à aller en zone non sécurisée, au nez et à la barbe des militaires sous haute sécurité. Un labo où un sujet en quarantaine n'est même pas sous surveillance. Un confinement des civils dans un parking où les militaires ont oublié de contrôler tous les accès... D'ailleurs, on a l'impression que le méchant se téléporte !Bref ridicule et du coup, pas flippant pour un sou.C'est nul"
"2,5","On voit que Danny Boyle n'est plus aux commandes, changement de ton et de rythme, place à la facilité et aux grosses ficelles du genre. Là où 28 Jours Plus Tard savait se poser, prendre son temps, nous prendre aux tripes et nous garder sous pression, 28 Semaines Plus Tard veut aller vite, trop vite, et à trop vouloir en faire en 1H30, on perd le spectateur."
"4,0","Une suite largement à la hauteur de l'excellent ''28 jours plus tard'' (qui avait donné un sacré coup de fouet au genre) qui joue à fond la carte de la rupture, à commencer par le changement de réalisateur, Danny Boyle cédant sa place à Juan Carlos Fresnadillo (tout en restant producteur et caution artistique). C'est d'ailleurs la grande force de ce film qui refuse de faire dans la redite et préfère prendre le problème sous un angle différent du 1er épisode (qui était un survival en milieu hostile où l'humain se révélait parfois pire que le zombie). Ce 2nd opus s'intéresse davantage au drame vécu par cette famille avec la perte de la mère et la terrible trahison du père (sans doute la scène la plus forte du film) tout en developpant les conséquences de la propagation du virus à l'échelle nationale et l'implication de l'armée américaine. Un tel scénario exigeant forcément le renouvellement complet du casting (même si je n'aurais pas été contre un cameo de Cillian Murphy), on retrouve ici Robert Carlyle en père rongé par le remord, Rosy Byrne en médecin, Catherine McCormack en mère abandonnée, Jeremy Renner en soldat, Harold Perrineau Jr en pilote et les 2 jeunes Mackintosh Muggleton et Imogen Poots en gamins paumés. Même si j'ai trouvé le film un peu long à démarrer (le calme avant la tempête...) et le choix du réalisateur de balancer une image saccadée parfois poussif (surtout au début), je préfère retenir la qualité des effets spéciaux (voir le superbe plan de Londres passé au napalm), la formidable BO (notamment le ''Shrinking Universe'' de Muse), le talent et le rythme de la mise en scène (avec , entre autre exemple, une séquence en vision de nuit bien plus réussie que celle de ''Rollerball'' et un ton gore parfaitement assumé sans être ridicule) sans oublier un final génialement pessimiste. Bref, la preuve qu'on peut faire un film d'horreur avec du fond (voir un message politique). On attend le 3e opus avec impatience !"
"4,0","Suite souvent huée mais finalement supérieur à son ainé 28 Semaines Plus Tard est une excellente surprise. Une suite qui envoie un tout autre message et qui se passe dans un contexte radicalement différent mais se hisse au niveau d'un grand film. Sa force émotionnelle, sa puissance font une oeuvre quasi magnifique. Un script parfait chargé en évènement et révélation fait le reste avec la réalisation exceptionnelle. Un chef d'oeuvre !"
"4,5","Suite de la bombe de Danny Boyle, 28 jours plus tard, le film de Fresnadillo n'a pas à rougir de son prédécesseur et peut se venter d'avoir réussi un pari complètement fou et inhabituel : surpasser le premier film. Lire notre critique sur le site terreurvision !"
"4,0","Une suite très efficace, violente, ultra gore et qui reprend l'ambiance très spécifique à 28 jours plus tard. Seulement, le scénario est moins bien travaillé et la surprise en est évidemment absente. Mais il remplit tout de même son contrat et se trouve parmi les meilleurs longs-métrages du genre."
"5,0","Ca faisait bien longtemps que je n avais pas mis quatre étoile depuis apocalypto sorti en janvier 2007.Ce film est tous simplement époustouflant.Fresnadillo place la barre haut dans l’action et les attaques des enragés.Les effets spéciaux d’un réalisme permanent nous font errer dans un univers de terreur ainsi que La mise en scène puissante et saccadée, l’utilisation paroxysmique et émotionnelle de la musique(qui me fait pensé a un grand artiste comme sigur ros ), la violence contagieuse et primaire qui s’exprime sans retenue, le même goût pour les décors apocalyptiques.Le sentiment de terreur est intensifié par des choix de mise en scène qui privilégient les plans ultracourts et les séquences chocs, l'absence de répit dont quelques scénes d anthologie comme la scéne de fin qui se situe dans le noir au fin fond du metro qui nous rapelle the descent. Unique défaut d film :Mouvements rapides et saccadés de la caméra, rendant floues les scènes d'action.Plus percutant, plus effrayant et plus sanglant que le premier : tout simplement une réussite ."
"4,0","Si vous voulez voir une parfaite leçon de mise en scène, à la fois sensible et intelligente, qui autopsie réellement ses personnages sans oublier d’être totalement au service de son histoire, alors arrêtez tout et regardez en boucle quarante-cinq fois à la suite ''28 Semaines plus tard'' de Fresnadillo : que dieu m'en soit témoin LE seul film qui me fait pleurer de bon cœur quasiment de la première à la dernière image à chaque visionnage. Le génie de l’enchaînement des plans et la composition des cadres y sont pour beaucoup. Mais je dois aussi dire que ses personnages, tous complexes, profondément humains et donc pétris de contradiction (oui tous les personnages du film sont travaillés, ce qui est rare !) qui se dévoilent dans des situations extrêmes ou se transcendent face à l'inéluctabilité de la mort, m'on fait vibrer comme je n'ai peut-être jamais vibré pour des personnages de cinéma. Depuis que j'ai vu ce film, il ne se passe pas une année sans que je le revois et fini toujours le cœur serré et la larme à l’œil. Merci Juan Carlos Fresnadillo et que du bon pour votre futur qui s'annonce radieux.Mon analyse perso :Par rapport a l'ambiguïté extrême des personnages (traduite par la mise en scène) mon hypothèse est que le personnage joué par Robert Carlyle est en réalité une véritable ordure et/ou un violent psychopathe refoulé, puisqu'il poursuit uniquement et inlassablement ses enfants pour les tuer, et également et surtout que, dans l'incroyable séquence (éprouvante émotionnellement au passage !) ou il s'acharne comme un sagouin en tuant sa femme sur son lit d’hôpital, c'est on peut dire de la manière la plus hargneuse, déchaînée, cruelle et abjecte possible (Il l'a frappe méchamment au visage avant de lui enfoncé au maximum les pouces dans les yeux tout de même !), scène de plus ponctuée d'un micro-flashback éloquent sur un plan de la première séquence du film ou on lie sur le visage de sa femme la stupéfaction mesurant toute la bassesse insoupçonnée de son marie l’abandonnant dans leurs luttent face aux zombies et sen-fuyant comme, soit un lâche, soit un ottomane privé de sentiment ne répondant qu'a son instinct de conservation. En fait sa forme zombie serait sa part sombre ? Voir la part sombre de tout le monde ?"
"0,5",Sérieusement ????2 gamins qui arrivent à s'échapper d'un camp de survivant censé être super surveillé et pour aller faire quoi ? S'amuser dans Londres alors qu'ils savent pertinemment qu'il reste des zombies. On ne parlera même pas du reste du filmUn des pires scénarios jamais vuNul nul et nul
"0,5","Mais c'est quoi ce truc sensé être un film d'horreur ; 28 jours plus tard de Boyle ne m'avait pas plu mais j'ai cru que cette suite serait meilleure mais non elle s'avère pire. C'est peut-être un des plus mauvais films d'horreur de cette dernière décennie, en-dehors des scènes d'action et d'horreur Fresnadillo (déjà responsable du moyen Intacto) c'est plutôt correctement filmé mais lors des dites scènes on dirait que ce réalisateur souffre de Parkinson tellement il y a de la tremblote, c'est hystérique les scènes en question sont illisibles. J'ai failli arrêter le visionnage au bout de 10 minutes tellement j'étais agacé mais je me suis quand même forcé à en regarder un peu plus mais je vous avoue que j'ai abandonné 28 semaines plus tard à 20 minutes de la fin. Comme on dit chacun ses goûts mais dans le cas de 28 semaines plus tard pour moi c'est totalement incompréhensible que l'on puisse prendre son plaisir à regarder ce film de zombies totalement raté."
"2,0","Ce 28 semaines plus tard est une suite très pale des 28 jours de Boyle. Ici on ne fait que reprendre le thème principale à base de zombies, on met cela en scène à travers une belle histoire familiale et le tour et joué !! Malheureusement le succès ne fonctionne pas comme ça et heureusement. Pourtant doté d'un très bon casting, ce film n'arrive pas à décoller et tout est prévisible d'avance. De gros clichés et une incohérence du scénario gâche affreusement la fête. 
spoiler: 
Il est vrai que de nos jours, il est très facile de rentrer dans une pièce close, pour retrouver et embrasser sa femme, et tout cela sans être vu par une armée de militaire dont le rôle est de garder cette même pièce !!
 . Pour en rajouter une couche, on notera cette fâcheuse habitude qu'a Juan Carlos Fresnadillo à donner le tournis avec des plans mal ajustés.Bien dommage."
"4,5","Une excellente suite, légèrement inférieur a ''28 Jours Plus Tard'' mais vraiment très agréable a regarder. Le scénario est très bien écrit, le casting est pas mal et la musique est grandiose ! J'attend ''28 mois plus tard'' avec impatience !!"
"5,0","''28 jours plus tard'', malgré quelques faiblesses, avait réussi à renouveler le film de zombies, cette suite perpétue le style, les faiblesses en moins. On est effrayé devant les tableaux d'apocalypse et bouleversé par l'humanité des personnages...un film extraordinaire et inoubliable."
"2,0","Plus un téléfilm qu'un gros Blockbuster que cette suite du très bon '' 28 jours plus tard '' . Le principal défaut étant des personnages assez sans intérêt et plutôt clichés contrairement à ceux du premier . J'ai d'ailleurs trouvé Robert Carlyle particulièrement mauvais pour une fois ce qui m'a encore plus déçu. Les scènes d'actions sont convenues , le scénario cousu de fil blanc. En fait on s'ennuie beaucoup car tout est sans surprise ce qui est rédhibitoire pour un film d'horreur à mon sens. Ce n'est pas insupportable à regarder mais c''est franchement un film dispensable."
"5,0",Un des meilleurs film de zombie avec l'armée des morts. Meilleur que 28 jours pour moi qui reste quand même excellent. A voir
"4,5","Vraie claque dans la gueule, 28 WEEKS LATER enterre le premier opus, gardant ses critères sur la déshumanisation de notre société tout en y ajoutant une dose massive d'adrénaline épique, enchaînant les séquences marquantes. Un sommet de l'horreur dont on ne sort pas indemne, moralement et physiquement."
"0,5","Cette chose fait honte au premier ... Oser appeler ça une suite... 1H40 de grand n'importe quoi. Ca bourrine dans tous les sens, c'est ultra prévisible, l'image est moche, très moche, les acteurs nuls au possible... Ca sent le manque flagrant d'imagination ainsi que le manque de hmm technique. Bref c'est inutil et laid. Remattez vous plutot 28jours plus tard, tellement plus prenant!!!"
