Note,Commentaire
0,"1 étoile pour quelques scènes.Pour le reste, le scénario est bourré d'illogismes. En fait, on dirait qu'ils font juste une liaison entre les scènes qu'ils avaient envie de filmer, au détriment de toute cohérence. Des mômes qui, alors qu'ils viennent de camps de réfugiés, se décide à aller en zone non sécurisée, au nez et à la barbe des militaires sous haute sécurité. Un labo où un sujet en quarantaine n'est même pas sous surveillance. Un confinement des civils dans un parking où les militaires ont oublié de contrôler tous les accès... D'ailleurs, on a l'impression que le méchant se téléporte !Bref ridicule et du coup, pas flippant pour un sou.C'est nul"
0,"On voit que Danny Boyle n'est plus aux commandes, changement de ton et de rythme, place à la facilité et aux grosses ficelles du genre. Là où 28 Jours Plus Tard savait se poser, prendre son temps, nous prendre aux tripes et nous garder sous pression, 28 Semaines Plus Tard veut aller vite, trop vite, et à trop vouloir en faire en 1H30, on perd le spectateur."
0,Sérieusement ????2 gamins qui arrivent à s'échapper d'un camp de survivant censé être super surveillé et pour aller faire quoi ? S'amuser dans Londres alors qu'ils savent pertinemment qu'il reste des zombies. On ne parlera même pas du reste du filmUn des pires scénarios jamais vuNul nul et nul
0,"Mais c'est quoi ce truc sensé être un film d'horreur ; 28 jours plus tard de Boyle ne m'avait pas plu mais j'ai cru que cette suite serait meilleure mais non elle s'avère pire. C'est peut-être un des plus mauvais films d'horreur de cette dernière décennie, en-dehors des scènes d'action et d'horreur Fresnadillo (déjà responsable du moyen Intacto) c'est plutôt correctement filmé mais lors des dites scènes on dirait que ce réalisateur souffre de Parkinson tellement il y a de la tremblote, c'est hystérique les scènes en question sont illisibles. J'ai failli arrêter le visionnage au bout de 10 minutes tellement j'étais agacé mais je me suis quand même forcé à en regarder un peu plus mais je vous avoue que j'ai abandonné 28 semaines plus tard à 20 minutes de la fin. Comme on dit chacun ses goûts mais dans le cas de 28 semaines plus tard pour moi c'est totalement incompréhensible que l'on puisse prendre son plaisir à regarder ce film de zombies totalement raté."
0,"Ce 28 semaines plus tard est une suite très pale des 28 jours de Boyle. Ici on ne fait que reprendre le thème principale à base de zombies, on met cela en scène à travers une belle histoire familiale et le tour et joué !! Malheureusement le succès ne fonctionne pas comme ça et heureusement. Pourtant doté d'un très bon casting, ce film n'arrive pas à décoller et tout est prévisible d'avance. De gros clichés et une incohérence du scénario gâche affreusement la fête. 
spoiler: 
Il est vrai que de nos jours, il est très facile de rentrer dans une pièce close, pour retrouver et embrasser sa femme, et tout cela sans être vu par une armée de militaire dont le rôle est de garder cette même pièce !!
 . Pour en rajouter une couche, on notera cette fâcheuse habitude qu'a Juan Carlos Fresnadillo à donner le tournis avec des plans mal ajustés.Bien dommage."
0,"Plus un téléfilm qu'un gros Blockbuster que cette suite du très bon '' 28 jours plus tard '' . Le principal défaut étant des personnages assez sans intérêt et plutôt clichés contrairement à ceux du premier . J'ai d'ailleurs trouvé Robert Carlyle particulièrement mauvais pour une fois ce qui m'a encore plus déçu. Les scènes d'actions sont convenues , le scénario cousu de fil blanc. En fait on s'ennuie beaucoup car tout est sans surprise ce qui est rédhibitoire pour un film d'horreur à mon sens. Ce n'est pas insupportable à regarder mais c''est franchement un film dispensable."
0,"Cette chose fait honte au premier ... Oser appeler ça une suite... 1H40 de grand n'importe quoi. Ca bourrine dans tous les sens, c'est ultra prévisible, l'image est moche, très moche, les acteurs nuls au possible... Ca sent le manque flagrant d'imagination ainsi que le manque de hmm technique. Bref c'est inutil et laid. Remattez vous plutot 28jours plus tard, tellement plus prenant!!!"
0,"L'introduction de cette suite est excellente. Si seulement ça avait été de la même qualité tout du long! Car après ça, le film tombe dans la caricature bête et méchante, le manichéisme idiot, et dans la facilité scénaristique. Tous les rebondissements en deviennent prévisibles, jusqu'à une fin en queue de poisson pas très recherchée. Alors que derrière, la mise en scène est vraiment excitante, tout comme la composition géniale de John Murphy... Là où dans le film de Danny Boyle, on pouvait trouver de l'originalité, il n'en est rien pour ce blockbuster bien formaté, et peu efficace."
0,"C'est gore, ça gicle, ça taille et ça viande dans tous les sens! Yahou, dirions-nous? Non, pas du tout. Un bon point kante même, pour une fois que ces foutus zombies savent courir, l'impression initiale de ne pas se faire prendre pour une andouille est appréciable. Cependant le scénario est léger. De plus le coup de l'armée américaine dépassée ''Tirez sans distinction!'', la scène trash au possible de R. Carlyle pétant un câble gravos sur son épouse et l'apothéose l'hélico en mode disqueuse : beurk. A voir les critiques précédentes, le premier opus est autrement mieux, à regarder donc. On verra s'ils ont raison."
0,"Aie aie aie!! Non content d'avoir déjà pillé la saga des zombies de Romero pour nous chier la première merde qu'était 28 jours plus tard, Danny Boyle remet le couvert en déléguant cette fois ci la réalisation de ce sommet de nullité à un réalisateur espagnol inconnu au bataillon! Repompant le master de Pittsburgh avec cette histoire de ville bunker sous tutelle Américaine (comme dans land of the dead) 28 semaines plus tard, faute d'avoir un scenario digne de ce nom, s'évertue à maintenir la pression à grand renfort de scènes chocs, que seule la crédulité visiblement sans bornes d'un publique déjà acquis à la cause accrédite encore dans son postulat d'être un film original à part entière (pour tous les autres ça s'appelle du foutage de gueule!) Peu importe donc que l'histoire soit truffée d'incohérences (la mère qui, à défaut de s'être fait déchiquetée comme les autres, se fait gentiment mordre le bras!) de facilités scénaristiques débiles (le contaminé Robert Carlyle, seul zombie ''intelligent'' qui sélectionne ses proies et utilise sa carte d'accès pour se balader tranquillement!) jusqu'au final à la pointe de l'absurdité (le même papa zombie qui attend tout seul que ses enfants, sur la centaine de stations de métro de Londres, choisissent justement celle où il se trouve pour se cacher des méchants snipers!) sans parler de tout ces éléments débiles, comme le fait que les zombies meurent d'avoir respiré un gaz toxique (auquel les héros échapperont en se réfugiant dans une voiture visiblement hermétique!) les mêmes zombies supposé mourir de faim mais s'accommodant fort bien d'avoir été coupé en deux par un hélicoptère! Bref,du bon gros n'importe quoi du moment que ça continue de gicler, de hurler, de trucider, sans que tout le reste ne semble avoir la moindre importance.Vous voilà prévenu!"
0,"Loin de l'originalité du premier opus, le réalisateur s'est contenté de reprendre l'idée de départ, de l'épurer pour en faire un film d'horreur vu 1000 fois."
